iter	Logloss
0	0.6712418707
1	0.6493995201
2	0.6325244672
3	0.6149885695
4	0.599862282
5	0.5858870999
6	0.5747411134
7	0.5637817425
8	0.5530652265
9	0.5435937949
10	0.5360475465
11	0.5289885125
12	0.5212449174
13	0.5148344616
14	0.5091155133
15	0.5042677916
16	0.5000027082
17	0.4957098767
18	0.4925005499
19	0.4891454342
20	0.4860106083
21	0.4830328892
22	0.4807379925
23	0.478663947
24	0.4764843575
25	0.4745689186
26	0.4725814869
27	0.4701827218
28	0.468662085
29	0.4673034894
30	0.4660161017
31	0.4647624653
32	0.4637157
33	0.4625196496
34	0.4614671003
35	0.4606886681
36	0.459869952
37	0.4589134021
38	0.4582090476
39	0.4572814826
40	0.4567813727
41	0.4560181753
42	0.4552560558
43	0.4547929128
44	0.4542721835
45	0.4538097894
46	0.4533878578
47	0.4526854047
48	0.4522627761
49	0.4519763796
50	0.451490316
51	0.4511936058
52	0.4508930079
53	0.4505325704
54	0.4502506134
55	0.4497166995
56	0.4493883039
57	0.4490466232
58	0.4486807357
59	0.4484679126
60	0.4482443015
61	0.4480208151
62	0.4477305048
63	0.4473037599
64	0.4469636851
65	0.4464962668
66	0.4462229436
67	0.4459743131
68	0.4457128273
69	0.4455332671
70	0.445281203
71	0.4450745324
72	0.4449062991
73	0.4447356275
74	0.4445215186
75	0.4443565001
76	0.4442530186
77	0.4441342586
78	0.4439012702
79	0.4436853619
80	0.4435748001
81	0.4432202722
82	0.4430868559
83	0.4429460635
84	0.4427965029
85	0.4426024094
86	0.4424755559
87	0.4422981193
88	0.4421514877
89	0.4420598479
90	0.4416223416
91	0.4415049171
92	0.4414120305
93	0.4413071099
94	0.4411751022
95	0.4410242478
96	0.4409229341
97	0.4408156802
98	0.4404263025
99	0.4402335253
100	0.4401010997
101	0.4399994309
102	0.4397788999
103	0.4394453986
104	0.439307353
105	0.4391770611
106	0.438998374
107	0.4388850181
108	0.4388093278
109	0.4387078605
110	0.4385679245
111	0.4384344514
112	0.4382832995
113	0.4381515478
114	0.4380537502
115	0.4379555194
116	0.4378052849
117	0.4376804286
118	0.4376168067
119	0.4375126267
120	0.4373782025
121	0.4372905463
122	0.437196207
123	0.4370602062
124	0.4369586222
125	0.4368363244
126	0.4367547954
127	0.4364405871
128	0.4362667507
129	0.4358088753
130	0.435715612
131	0.4355843633
132	0.4354055079
133	0.4352786641
134	0.4352023776
135	0.434937031
136	0.4348335998
137	0.4346475749
138	0.4345335973
139	0.4343976985
140	0.4342637949
141	0.434139069
142	0.4340299227
143	0.4339164493
144	0.4338247429
145	0.4336918098
146	0.433608438
147	0.4334134829
148	0.4333496096
149	0.4332930265
150	0.4332048229
151	0.4331079134
152	0.4329649479
153	0.4328803265
154	0.4326597371
155	0.432544358
156	0.4322148518
157	0.4321258093
158	0.431847411
159	0.4314041165
160	0.4313142688
161	0.4312158726
162	0.4310965089
163	0.4310368517
164	0.4309848595
165	0.4308583714
166	0.4303491402
167	0.430232243
168	0.4301268736
169	0.4300528274
170	0.4296637765
171	0.4295436578
172	0.4294662736
173	0.4292339251
174	0.4291522433
175	0.429079055
176	0.4290235131
177	0.4289507952
178	0.4288682244
179	0.4286353288
180	0.4285711814
181	0.428478999
182	0.4280630655
183	0.427966681
184	0.4278901097
185	0.4277782457
186	0.4276928184
187	0.4275476215
188	0.427464684
189	0.4272222816
190	0.4270295023
191	0.4269112106
192	0.4265237788
193	0.4261537186
194	0.4260906954
195	0.4260318719
196	0.425901512
197	0.4258381456
198	0.4257582889
199	0.4255004594
200	0.4254086482
201	0.4253611926
202	0.4252510358
203	0.425178103
204	0.4251095423
205	0.4249976477
206	0.4247652911
207	0.4246498269
208	0.4245063519
209	0.4244069737
210	0.4242038987
211	0.4241220963
212	0.4240389501
213	0.423913406
214	0.4237983519
215	0.4237218809
216	0.4235929811
217	0.4233829181
218	0.4232603684
219	0.4231428437
220	0.4230786367
221	0.4229730086
222	0.4228441534
223	0.4226546136
224	0.4225856696
225	0.4225291196
226	0.4224695536
227	0.4221768909
228	0.4220736587
229	0.4219903426
230	0.4219138198
231	0.4218148684
232	0.4217009806
233	0.4215687489
234	0.4212800692
235	0.4211217048
236	0.4210701974
237	0.4209938363
238	0.420867619
239	0.4205112872
240	0.4203937774
241	0.4202635972
242	0.4201710472
243	0.4200808219
244	0.4199713212
245	0.4196914956
246	0.4194320803
247	0.4193535831
248	0.4190909449
249	0.4190131742
250	0.41894742
251	0.4188003957
252	0.4186654774
253	0.4185076056
254	0.4183348797
255	0.4180752839
256	0.4179808053
257	0.4179045708
258	0.417790443
259	0.4177021227
260	0.4175601997
261	0.417453257
262	0.4173388755
263	0.4171728051
